,Geo_ID,Year,Geographic Area Name,"Estimate VALUE Less than $50,000","Estimate VALUE $50,000 to $99,999","Estimate VALUE $100,000 to $149,999","Estimate VALUE $150,000 to $199,999","Estimate VALUE $200,000 to $299,999","Estimate VALUE $300,000 to $499,999","Estimate VALUE $500,000 to $999,999","Estimate VALUE $1,000,000 or more",Estimate VALUE Median (dollars),"Estimate VALUE Less than $150,000","Estimate VALUE $150,000 to $299,999"
348,29336,2018,Georgetown ,20964,245,244,557,1669,9348,7533,1368,0,21453,2226
349,48072,2018,Midland ,30093,1571,2123,3737,4959,9070,5776,2594,263,33787,8696
350,70808,2018,Sugar Land ,32629,280,348,1207,2437,9395,13958,4159,845,33257,3644
351,76000,2018,Waco ,20651,1242,5979,4047,2640,3608,1839,947,349,27872,6687
352,1000,2018,Abilene ,22492,2911,6136,5326,3371,3306,1269,115,58,31539,8697
353,17000,2018,Corpus Christi ,65603,4012,14938,15113,13217,11400,4575,2057,291,84553,28330
354,19000,2018,Dallas ,209766,12053,33437,31721,24742,27524,38672,30337,11280,255256,56463
355,26232,2018,"Flower Mound town, Texas",21794,274,127,511,386,3258,11689,4919,630,22195,897
356,41980,2018,League City ,26929,747,730,2601,3598,11272,6728,1050,203,28406,6199
357,52356,2018,North Richland Hills ,15494,314,228,1806,3427,5218,3779,614,108,16036,5233
358,53388,2018,Odessa ,25407,1422,4557,5463,4991,5458,2115,1401,0,31386,10454
359,63500,2018,Round Rock ,24097,426,32,1095,3991,8784,8242,1469,58,24555,5086
360,64472,2018,San Angelo ,22280,2877,4880,3307,4878,4235,1088,953,62,30037,8185
361,4000,2018,Arlington ,74122,1619,5791,14058,20233,23508,7606,1099,208,81532,34291
362,6128,2018,Baytown ,15637,1576,4018,4174,3275,2081,465,48,0,21231,7449
363,13552,2018,Cedar Park ,15580,273,120,50,1184,5490,6379,1746,338,15973,1234
364,15976,2018,College Station ,15424,362,0,694,2376,5685,4631,1437,239,15786,3070
365,16432,2018,Conroe ,17603,1252,2269,2144,3361,3564,3762,1178,73,21124,5505
366,19972,2018,Denton ,22845,996,536,1217,3789,9950,5445,723,189,24377,5006
367,22660,2018,Edinburg ,16240,2063,3844,3848,3522,2154,493,182,134,22147,7370
368,27684,2018,Frisco ,44896,184,170,285,661,5301,23405,13828,1062,45250,946
369,42508,2018,Lewisville ,15973,938,250,1464,2477,7663,3103,12,66,17161,3941
370,45000,2018,Lubbock ,51213,4026,10447,12016,9815,8570,4754,1432,153,65686,21831
371,57200,2018,Pharr ,12398,2776,5244,2374,1445,443,0,116,0,20418,3819
372,35000,2018,Houston ,355592,17954,62262,62868,51277,54165,55504,37931,13631,435808,114145
373,37000,2018,Irving ,26684,909,1531,4853,5999,5379,5652,2189,172,29124,10852
374,47892,2018,Mesquite ,26534,660,3929,7530,7961,5321,945,145,43,31123,15491
375,48768,2018,Mission ,16784,2571,5460,3514,2639,1641,634,325,0,24815,6153
376,75428,2018,Victoria ,14644,1272,2928,3786,3282,2262,1031,83,0,18844,7068
377,4462,2018,"Atascocita CDP, Texas",20140,283,202,2192,6619,7982,2605,257,0,20625,8811
378,5000,2018,Austin ,175016,3698,2505,4814,10443,40882,63248,40612,8814,181219,15257
379,10912,2018,Bryan ,13358,1442,2523,1981,2944,2928,1062,327,151,17323,4925
380,39148,2018,Killeen ,22549,788,6035,7151,4366,3236,666,276,31,29372,11517
381,50820,2018,New Braunfels ,18945,973,697,1374,2863,7995,4491,552,0,20615,4237
382,74144,2018,Tyler ,17806,871,2570,3468,4024,3157,2664,763,289,21247,7492
383,79000,2018,Wichita Falls ,20399,3234,7384,3753,2723,2627,458,220,0,31017,6476
384,32372,2018,Harlingen ,12930,3190,4603,2699,1651,374,336,0,77,20723,4350
385,61796,2018,Richardson ,24637,200,74,699,1712,8254,11418,1753,527,24911,2411
386,3000,2018,Amarillo ,45691,4992,10444,9930,8939,7384,2919,970,113,61127,18869
387,13024,2018,Carrollton ,28742,565,314,1199,4476,10914,9439,1648,187,29621,5675
388,29000,2018,Garland ,47367,744,3435,10508,14878,12799,4328,496,179,51546,25386
389,41464,2018,Laredo ,42499,3521,10954,11409,7469,5916,2307,923,0,56974,18878
390,43888,2018,Longview ,15549,2019,2664,3426,3594,2418,1190,238,0,20232,7020
391,45744,2018,McKinney ,42687,968,332,1208,1838,12992,20621,4373,355,43987,3046
392,46452,2018,Mansfield ,17831,576,244,1095,2706,6027,6466,585,132,18651,3801
393,48804,2018,Missouri City ,18906,381,755,2633,3965,5965,4167,816,224,20042,6598
394,72176,2018,Temple ,16386,925,2864,4156,4278,3233,671,129,130,20175,8434
395,7000,2018,Beaumont ,24233,3645,6731,4378,3982,2682,2077,604,134,34609,8360
396,24000,2018,El Paso ,132531,6848,33022,40404,27235,16578,6344,1895,205,172401,67639
397,30464,2018,Grand Prairie ,37047,1396,5230,6219,9933,9105,4340,524,300,43673,16152
398,45384,2018,McAllen ,26684,2500,5833,8127,5515,2954,1234,181,340,35017,13642
399,56000,2018,Pasadena ,24832,2270,4397,8357,3837,3351,2064,341,215,31499,12194
400,56348,2018,Pearland ,29789,878,1012,1632,4821,12159,8487,800,0,31679,6453
401,58016,2018,Plano ,59404,793,491,886,4172,16317,26966,8812,967,60688,5058
402,63572,2018,Rowlett ,18171,124,257,1519,2615,8667,4664,228,97,18552,4134
403,65000,2018,San Antonio ,270407,16903,60326,51544,50484,50593,31450,7648,1459,347636,102028
404,72656,2018,"The Woodlands CDP, Texas",29403,607,0,552,1787,5507,11111,7495,2344,30010,2339
405,1,2019,United States,77708394,5137750,8621352,9576933,10549229,15496144,15852636,9563467,2910883,91467496,20126162
